Codigo;Razon Social;Sucursal;Direccion Fiscal;Nro de RIF;Persona Contacto;Telefono;Direccion de Recolecta;Estatus;Email;Tarifa;Mod. Pago;F. Ult. Guia;
CR427;COOPER SERVICIOS DE VENEZUELA, C.A;CCS;AV. LA SALLE, EDF. SAN BARTOLOMEO PISO 7, OFC 74, SECTOR LOS CAOBOS, CARACAS.;J-29742939-5;TAIMI QUIJANO;0212-2391211;3ERA. TRANSVERSAL DE LOS RUICES, EDF. SEGRE, PB, CARACAS.;ACTIVO;t.quijano@coopergeneral.com;TARIFA NAC2012;CREDITO;;
CR428;SOFESA SUPERMOTORS, C.A;BRM;AV. PEDRO LEON TORRES CALLE 54 EDF SOFESA SUPERMOTORS PISO 1 LOCAL SOFESA SECTOR OBELISCO.;J-08520948-4;SRA. MARIA ELENA ARUSSO;0251-4414911 / 4432402 / 4421309;AV. PEDRO LEON TORRES CALLE 54 EDF SOFESA SUPERMOTORS PISO 1 LOCAL SOFESA SECTOR OBELISCO.;ACTIVO;;TARIFA NAC2012;CREDITO;2010-10-06;
CR429;VIDA SPORT, C.A;VLN;CALLE 97, CC EMPRESARIAL PALMI II, OFIC 1 ZON IND CASTILLITO SAN DIEGO EDO CARABOBO;J-30975816-0;OMARELYS GARCIA;0241-8331317;ZON IND LA QUIZANDA, AV CIRCUNVALACION GALPON 106;ACTIVO;;TARIFA NAC2012;CREDITO;2010-07-08;
VLN00;CLIENTE PPD O COD DE VLN;VLN;PUESTO EN OFICINA;0;.;.;;ACTIVO;.;TARIFA NAC2012;CONTADO;2012-08-09;
CR430;DISTRIBUIDORA SARES, C.A;CCS;AV. DEL CENTRO, ENTRE ROMULO GALLEGOS Y MENDIBLE, TORRE MEGA IV, PISO 7 , OFICINA 7-A , URBANIZACION LOS 2 CAMINOS , CARACAS .;J-31547875-7;SALOMON SERFATY;0212-2376296 /2329897 /0424-2544446 / 0416-0419878;AV. DEL CENTRO, ENTRE ROMULO GALLEGOS Y MENDIBLE, TORRE MEGA IV, PISO 7 , OFICINA 7-A , URBANIZACION LOS 2 CAMINOS , CARACAS;ACTIVO;serfaty@saresca.com / freddy@saresca.com;TARIFA NAC2012;COBRO EN DESTINO;2012-08-02;
CR431;CORPORACION EUROPIEZAS COLLISSION,C.A - EXPORTACIO;VLN;AV. LOS MANGOS, QTA. LOISE, ALTA FLORIDA, CARACAS.;J-30960908-4;OSWALDO MACHADO;0212.770.85.77/772.40.25;VALENCIA;ACTIVO;omachado@locaex.com;TARIFA NAC2012;CREDITO;2012-08-09;
CR432;SERVICIOS VENEZOLANOS INDUSTRIALES, C.A;MAR;AV 19 SECTOR PARAISO, ENTRE CALLE 65-66, CASA  NRO 65-64;J-31087512-0;MAYBETH JIMENEZ;0424-6989119; AV 19 ENTRE CALLES 65 Y 66. MARACAIBO, EDO. ZULIA.;ACTIVO;maybeth@serveinca.com;TARIFA NAC2012;CREDITO;2011-07-25;
COMAIL;CORRESPONDENCIA INTERNA;CCS;LIBERTY CARACAS;J311167722;DUGLAS VALERA;0212-2417070;;ACTIVO;dvalera@libertyexpress.com;TARIFA NAC2012;CREDITO;2012-08-10;
CR433;SETRABANCA, C.A;CCS;CALLE 13, CON 13-01, RESD. EL PRADO, LOCAL COMERCIAL PB, LA URBINA, CARACAS.;J-311120971;KATHERINE PARRA;0212-2420710 EXT 128;CALLE 13, CON 13-01, RESD. EL PRADO, LOCAL COMERCIAL PB, LA URBINA, CARACAS.;INACTIVO;devolucion.despacho@setrabanca.com;TARIFA NAC2012;CONTADO;2011-11-22;
CR434;FRIGORIFICO Y MATADERO FRIGOMAT, C.A.;CCS;CALLE EL ROSARIO, CASA Nº33, PLANTA ALTA, URB.LOS CHORROS, CARACAS, VENEZUELA;J-29899272-7;EDITH GOMEZ;6357377 / 6357376;CALLE EL ROSARIO, CASA Nº33, PLANTA ALTA, URB. LOS CHORROS, CARACAS, (AL LADO DE PROLICOR Y MÀS ARRIBA DE BIMA);ACTIVO;frigomat2010@yahoo.es;TARIFA NAC2012;COBRO EN DESTINO;;
CR435;DESARROLLOS HAYUELO, C.A.;CCS;AV. FRANCISCO DE MIRANDA, EDIF. ICOA, PISO 6, APTO. 43, LOS RUICES, CARACAS, VENEZUELA;J-29881374-1;JOSMAR ESPARRAGOZA;0212-2859110;AV. FRANCISCO DE MIRANDA, CENTRO PLAZA, TORRE C, PISO 16, OFIC. F, LOS PALOS GRANDES, CARACAS, VENEZUELA;ACTIVO;jesparragoza@anexinca.com.ve;TARIFA NAC2012;CREDITO;;
CR436;ARESE MOTORS, C.A;BLA;CARACAS;J-30689073-4;GIOVANNA PEÑA;0281-2674262;;ACTIVO;;TARIFA NAC2012;CREDITO;2011-01-21;
CR437;BIOQUIMICOS CARABOBO, C.A;VLN;AV MONTES DE OCA, CC MONTES DE OCA NIVEL PB LOCAL 222 SECTOR CENTRO DE VALENCIA;J-29919393-3;DANIEL PEÑA;6145259-8579361/0241-8579361;AV MONTES DE OCA, CC MONTES DE OCA NIVEL PB LOCAL 222 SECTOR CENTRO DE VALENCIA;ACTIVO;bioquimicoscarabobo @hotmail.com;TARIFA NAC2012;CREDITO;2011-10-17;
CR433S;SETRABANCA, C.A - SAN CRISTOBAL;SVZ;CALLE 12 ENTRE CRR 23 Y 24 NO 23-64 CTRO PROFESIONAL PIRINCAS P3 LOCAL 31 BARRIO OBRERO, SAN CRISTOBAL.;J-311120971;ANA VIRGINIA ALVAREZ;0276-3561722 / 0276-8893275;CALLE 12 ENTRE CRR 23 Y 24 NO 23-64 CTRO PROFESIONAL PIRINCAS P3 LOCAL 31 BARRIO OBRERO, SAN CRISTOBAL.;INACTIVO;aalvarez@setrabanca.com;TARIFA NAC2012;CONTADO;2011-10-31;
CR433M;SETRABANCA - MARACAY;MCY;AV.19 DE ABRIL C.C. HENRY PITIER OFC.16 (FTE AL BANCO PROVINCIAL), MARACAY.;J-311120971;MARIA MASELLI.;0243-2469486;AV.19 DE ABRIL C.C. HENRY PITIER OFC.16 (FTE AL BANCO PROVINCIAL), MARACAY.;INACTIVO;mmaselli@setrabanca.com;TARIFA NAC2012;CONTADO;2011-10-26;
CR433V;SETRABANCA - VALENCIA;VLN;URB. EL VIÑEDO AV. MONSEÑOR ADAMS, C.C. DEST-ARTS, PISO 1, OFC. 1-2. ANT: SRA. SOLEDAD GAMEZ. (SGAMEZ@SETREXGROUP.COM);J-311120971;SRA. SOLEDAD GAMEZ;0241-8240331;URB. EL VIÑEDO AV. MONSEÑOR ADAMS, C.C. DEST-ARTS, PISO 1, OFC. 1-2.;INACTIVO;sgamez@setrabanca.com;TARIFA NAC2012;CONTADO;2011-10-24;
CR433B;SETRABANCA - BARQUISIMETO;BRM;CARRERA 21 ENTRE CALLE 12-13 LOCAL 12 21A (AL LADO DE LA TASCA DE JUAN), BARQUISIMETO.;J-311120971;OLINDA TORREALBA;0251-2679775 / 0251-6350149 / 0251-8668238;CALLE 13, CON CALLE 13-1, RESD. EL PRADO, LOCAL COMERCIAL, LA URBINA, CARACAS.;INACTIVO;otorrealba@setrabanca.com;TARIFA NAC2012;CREDITO;2011-09-20;
CR433MAR;SETRABANCA, C.A - MARACAIBO;MAR;CENTRO EMPRESARIAL PASEO 72 CON AV.15 DELICIAS LOCAL 10 NIVEL TERRAZA, MARACAIBO.;J-311120971;NORLY BRACHO;0261-7519568 / 0261-7525493;CTRO EMPRESARIAL PASEO 72 CON AV.15 DELICIAS LOCAL 10 NIVEL TERRAZA, MARACAIBO.;INACTIVO;nbracho@setrexgroup.com;TARIFA NAC2012;CONTADO;2011-11-01;
CR433BLA;SETRABANCA, C.A - BARCELONA;BLA;AV. INTERCOMUNAL JORGE RODRIGUEZ C.C. CRISTAL PLAZA P.3 OFC.6, BARCELONA.;J-311120971;EDITH GARCIAS;0281-2777106;CALLE 13, CON CALLE 13-1, RESD. EL PRADO, COMERCIAL, LA URBINA, CARACAS.;INACTIVO;egarcia@setrabanca.com;TARIFA NAC2012;CONTADO;2011-11-01;
CR433MUN;SETRABANCA, C.A - MATURIN;MUN;AV.EL EJERCITO C.C. YACAL PISO 1 LOCAL 9 (AL LADO DEL EDF. LOS COLORAOS), MATURIN.;J-311120971;ANAHIS ROJAS;0291-6513866;AV.EL EJERCITO C.C. YACAL PISO 1 LOCAL 9 (AL LADO DEL EDF. LOS COLORAOS), MATURIN.;INACTIVO;arojas@setrexgroup.com;TARIFA NAC2012;CONTADO;2011-10-13;
CR433PZO;SETRABANCA, C.A - PUERTO ORDAZ;PZO;CALLE TOCOMA TORRE CAURA III PISO 4 OFC. 4-K ALTA VISTA, PUERTO ORDAZ.;J-311120971;MABELL ROJAS;0286-9670948;CALLE TOCOMA TORRE CAURA III PISO 4 OFC. 4-K ALTA VISTA, PUERTO ORDAZ.;INACTIVO;mrojas@setrabanca.com;TARIFA NAC2012;CONTADO;2011-01-28;
CR433P;SETRABANCA, C.A - PORLAMAR;PMV;AV.BOLIVAR CRUCE CON AV.RAUL LEONI CTRO PREMIER P.1 LOCAL 11, PORLAMAR.;J-311120971;CARLOS MARIN;0295-2646867;AV.BOLIVAR CRUCE CON AV.RAUL LEONI CTRO PREMIER P.1 LOCAL 11, PORLAMAR.;ACTIVO;cmarin@setrabanca.com;TARIFA NAC2012;CREDITO;2011-10-27;
CR438;REPUESTOS LAUVAL,C.A;PZO;CALLE 1 LOCAL 2 ZONA IND. UNARE II PUERTO ORDAZ EDO BOLIVAR GALPONES DE CORPOINDUSTRIA (DETRAS DE MC DONALD);J-29784094-0;ANARCI NAVARRO;0286-9510404;AV 1 CON SECTOR 1, LOCAL 59-B UNARE II PUERTO ORDAZ ESTADO BOLIVAR;ACTIVO;ilauval0103@hotmail.com;TARIFA NAC2012;CREDITO;2012-08-10;
CR439;CRC AUTO PARTES, C.A;MCY;AV LOS CEDROS ESTE, NRO 231, SECTOR URB SANTA ANA, MARACAY - EDO ARAGUA;J-29562186-8;CARMEN MONTERO;N/A;;INACTIVO;;TARIFA NAC2012;CREDITO;2012-05-10;
CR440;TALLERES CLARET, C.A.;BRM;AV.MORAN, ENTRE CARRERAS 25 Y AV.VENEZUELA, NUMERO S/N, SECTOR ESTE, BARQUISIMETO, ZONA POSTAL 3001;J-30060504-3;ISIDRO MENDOZA RIVERO;0251-251.3046;AV.MORAN, ENTRE CARRERAS 25 Y AV.VENEZUELA, NUMERO S/N, SECTOR ESTE, BARQUISIMETO, ZONA POSTAL 3001;ACTIVO;davidmendoza_9@hotmail.com;TARIFA NAC2012;CREDITO;2011-08-11;
CR441;BGM SUMINISTROS, C.A.;BRM;CALLE 22, ENTRE CARRERAS 19 Y 20, C.C.DOÑA AURA, NIVEL 4, LOCAL 4-6, SECTOR CENTRO BARQUISIMETO, ZONA POSTAL 3001;J-29821478-3;JESUS ALBERTO BISOGNO RIERA;(251)233.80.47 / 679.52.84;CALLE 22, ENTRE CARRERAS 19 Y 20, C.C.DOÑA AURA, NIVEL 4, LOCAL 4-6, SECTOR CENTRO BARQUISIMETO, ZONA POSTAL 3001;ACTIVO;info@bgmsuministros.com.ve;TARIFA NAC2012;CREDITO;2012-06-13;
CR442;SERMETCA, C.A;BRM;AV.20 ENTRE CALLE 10 Y 11 EDF. LA AJUGA PISO 2 OF 2-1 SECTOR BARQUISIMETO. ZONA POSTAL  3001;J-29631685-6;JUAN PASTOR BOQUILLON GIMENEZ;02512526880;AV.20 ENTRE CALLE 10 Y 11 EDF. LA AJUGA PISO 2 OF 2-1 SECTOR BARQUISIMETO. ZONA POSTAL  3001;ACTIVO;etorres@sermetca.com;TARIFA NAC2012;CONTADO;;
CR443;TOTALCHEF,C.A;BRM;AV.ROTARIA ENTRADA A LA URBANIZACION TACHIRA, LOCAL 5, SAN CRISTOBAL ESTADO TACHIRA, ZONA POSTAL 5001;J-31269683-4;CESAR ALBERTO GONZALEZ BRICEÑO;0251-269.1002;AV. LAS INDUSTRIAS, E/AV. MOYETONES, CA. 3, BARQUISIMETO ZONA POSTAL 3001;ACTIVO;rrhh@totalchef.com.ve;TARIFA NAC2012;CREDITO;2010-11-25;
VLNC42;UNISID;VLN;AV BOLIVAR EDIF TORRE DAVINCI PB LOCAL 1 URB LAS ACACIAS VALENCIA EDO CARABOBO;J-31677898-3;ELIANA;0241-8250952;AV BOLIVAR EDIF TORRE DAVINCI PB LOCAL 1 URB LAS ACACIAS VALENCIA EDO CARABOBO;ACTIVO;;TARIFA NAC2012;CONTADO;2012-08-09;
CR392-B;ASESORIA POSTAL Y COMUNICACIONES (VALENCIA);VLN;AV INTERCOMUNAL DON JULIO CENTENO CC VIENNA, LOCAL 14 SAN DIEGO VALENCIA;J-;JOHONSON ARELLANO;0241-8716682;AV INTERCOMUNAL DON JULIO CENTENO CC VIENNA, LOCAL 14 SAN DIEGO VALENCIA;INACTIVO;;TARIFA NAC2012;CREDITO;2012-01-19;
CR023-B;AVIANCA VALENCIA;VLN;VLN;J-;LORENA PUENTE;0241-8268386/8268919;N/A;ACTIVO;valencia@aviancaexpress.com;TARIFA NAC2012;CREDITO;2010-11-03;
CR445;COOPERATIVA MIXTA VIDA PRACTICA XXVI RS;BRM;CTRA VIA EL UJANO, CASA NRO 13, URB RESIDENCIAS GRENADA, BARQUISIMETO;J-31139714-0;.;02512533435;CTRA VIA EL UJANO, CASA NRO 13, URB RESIDENCIAS GRENADA, BARQUISIMETO;ACTIVO;.;TARIFA NAC2012;CREDITO;2012-08-10;
CR446;SPEEDY EXPRESS, C.A;BRM;CR 21 ENTRE CALLES 10 Y 11, C.C RAINHA ISABEL, NIVEL PB, LOCAL PB2, ZONA CENTRO, BARAUISIMETO;J-30680735-7;MARCO ROMERO;0251-2523428;CR 21 ENTRE CALLES 10 Y 11, C.C RAINHA ISABEL, NIVEL PB, LOCAL PB2, ZONA CENTRO, BARAUISIMETO;ACTIVO;espeedy@cantv.net;TARIFA NAC2012;CREDITO;2012-08-02;
CR447;DISTRIBUIDORA LAB-SUPPLY, C.A;BRM;CALLE 4 ENTRE AVENIDA 4 Y 5, PARCELA NRO 76, SECTOR ZONA INDUSTRIAL II, BARQUISIMETO;J-31648527-7;.;0251-2690382;.;ACTIVO;.;TARIFA NAC2012;CREDITO;;
CR448;LAKE SHIPMANAGEMENT C.A.;MAR;AV. 4, ENTRE CALLES 66 Y 67. EDF CATATUMBO, PLANTA BAJA. MARACAIBO, EDO ZULIA.;J-29889542-0;JUAN TORREALBA;+ 58 412 2196014;AV. 4, ENTRE CALLES 66 Y 67. EDF CATATUMBO, PLANTA BAJA. MARACAIBO, EDO ZULIA.;ACTIVO;ops.maracaibo@lakeshipmanagement.com;TARIFA NAC2012;CONTADO;;
CR449;BERSPIRIT INDUSTRIAL, C.A.;CCS;CALLE BOLIVAR, GALPON N? 1, ZONA INDUSTRIAL LAS MINAS, SAN ANTONIO DE LOS ALTOS, DETRAS DEL CENTRO COMERCIAL GALERIAS LAS AM?RICAS. ESTADO MIRANDA, ZONA POSTAL 1204;J-30919390-2;GERALDINE RAMIREZ;0212/372.9571/0412-2235707/0414.915.56.88;CALLE BOLIVAR, GALPON N? 1, ZONA INDUSTRIAL LAS MINAS, SAN ANTONIO DE LOS ALTOS, DETRAS DEL CENTRO COMERCIAL GALERIAS LAS AM?RICAS. ESTADO MIRANDA, ZONA POSTAL 1204;ACTIVO;geraldine.ramirez@gmail.com/obely.berspirit@gmail;TARIFA NAC2012;CREDITO;2012-08-07;
CR450;AUTO REPUESTOS LA CASCADA, C.A;MUN;URBANIZACION LAGUNA PARAISO, CALLE 8, CASA NRO 309, SECTOR INDUSTRIAL, CARRETERA NACIONAL VIA SAN JAIME DE LA CIUDAD DE MATURIN, EDO MONAGAS;J-29668455-3;MARTIN SANABRIA;0416-6864542;AV. ALIRIO UGARTE PELAYO, E/S VESPA LOCAL 4 Y 5, MATURIN;ACTIVO;maturinsanabria@hotmail.com/maturinsanabria@gmail.;TARIFA NAC2012;CREDITO;2012-08-01;
CR451;NOVEDADES CUCHI CUCHI, C.A;CCS;AV. EL SAMAN, C. C UACHE, NIVEL C1, LOCAL 8, URB. EL MARQUES, CARACAS.;J-00140512-7;ALICIA VASQUEZ;0212-2431159;AV. EL SAMAN, C. C UACHE, NIVEL C1, LOCAL 8, URB. EL MARQUES, CARACAS.;ACTIVO;mariaaliciavazquez@yahoo.es;TARIFA NAC2012;CREDITO;;
VLNC43;CENTRO DE MEJORAMIENTO PARA LA SALUD (CMS);VLN;AV. LA MARINA C.C. CONSOLIDADO, NIVEL P/A  LOCAL B-6 ZONA FRATERNIDADPUERTO CABELLO EDO- CARABOBO;J-30465723-4;MARA CASTILLO;0242-3618780;AV. LA MARINA C.C. CONSOLIDADO, NIVEL P/A  LOCAL B-6 ZONA FRATERNIDADPUERTO CABELLO EDO- CARABOBO;ACTIVO;;TARIFA NAC2012;CREDITO;2012-04-12;
CR452;AUTO CARROCERIAS Y VIDRIOS CARONI,C.A;PZO;AV PRINCIPAL DE CASTILLITO Nº.50 AL LADO DE REPUESTOS ARMANDO PUERTO ORDAZ BOLIVAR;J-30034788-5;MARIA GONZALEZ;0286-9236654;AV PRINCIPAL DE CASTILLITO Nº.50 AL LADO DE REPUESTOS ARMANDO PUERTO ORDAZ BOLIVAR;ACTIVO;;TARIFA NAC2012;CREDITO;2012-07-19;
CR453;DESTILERIAS UNIDAS, S.A. / DUSA;BRM;CARRETERA BARQUISIMETO-ACARIGUA, KM48, PLANTA INDUSTRIAL DUSA, SECTOR LA MIEL, ESTADO LARA;J-30940783-0;MAGYELI PALENCIA;0251-7105200;CARRETERA BARQUISIMETO-ACARIGUA, KM48, PLANTA INDUSTRIAL DUSA, SECTOR LA MIEL, ESTADO LARA;ACTIVO;ctelefonica@dusa.com.ve;TARIFA NAC2012;CREDITO;2011-04-29;
CR454;CONEXION DIGITAL 416, C.A;CCS;CALLE 9 EDF REX, PISO 3 OFIC 31 ZONA INDUSTRIAL LA URBINA;J-31575761-3;JOSE ANTONIO GONZALEZ;0212 2423097 / 04165186847;CALLE 9 EDF REX, PISO 3 OFIC 31 ZONA INDUSTRIAL LA URBINA;ACTIVO;jmachado@conexiondigital.com.ve;TARIFA NAC2012;CREDITO;2011-04-08;
CR456;MEGA SOFT ELECTRONIC PAYMENT SOLUTION CA;CCS;CALLE RAZETTI ENTRE AV LAS CIENCIAS Y LOS ESTADIOS CASA SAN JOSE PISO 3 NRO 07-20 URB LOS CHAGUARAMOS CARACAS;J-30512619-4;JOSE DELGADO;04123334630;CALLE RAZETTI ENTRE AV LAS CIENCIAS Y LOS ESTADIOS CASA SAN JOSE PISO 3 NRO 07-20 URB LOS CHAGUARAMOS CARACAS;ACTIVO;jdelgado@megasoft.com.ve;TARIFA NAC2012;CREDITO;;
CR457;MEGA SOFT SERVICIOS C.A;CCS;CALLE RAZETTI ENTRE AV LAS CIENCIAS Y LOS ESTADIOS CASA SAN JOSE PISO 3 NRO 07-20 URB LOS CHAGUARAMOS CARACAS;J-30372104-4;JOSE DELGADO;04123334630;CALLE RAZETTI ENTRE AV LAS CIENCIAS Y LOS ESTADIOS CASA SAN JOSE PISO 3 NRO 07-20 URB LOS CHAGUARAMOS CARACAS;ACTIVO;jdelgado@megasoft.com.ve;TARIFA NAC2012;CREDITO;2012-08-10;
CR458;MEGA SOFT COMPUTACION C.A;CCS;CALLE RAZETTI ENTRE AV LAS CIENCIAS Y AV LOS ESTADIOS, QUINTA NRO 07-20 URB LOS CHAGUARAMOS, DIAGONAL A PIZZERIA ROCCOLANO. CARACAS;J-00343075-7;DAYANA CUEVAS;0212.507.76.44/507.76.11 EXT.644;CALLE RAZETTI ENTRE AV LAS CIENCIAS Y Y AV LOS ESTADIOS, QUINTA NRO 07-20 URB LOS CHAGUARAMOS, DIAGONAL A PIZZERIA ROCCOLANO. CARACAS;ACTIVO;dcuevas@megasoft.com.ve;TARIFA NAC2012;CREDITO;2012-08-10;
CR459;USAR CR287;BLA;AV OCTAVIO CAMEJO, C.C. PUERTO ENSENADA, NIVEL PB, LOCAL 04, SECTOR PARAISO PUERTO LA CRUZ ESTADO ANZOATEGUI;J-31486480-7;CARMEN CONOPOIMA;0281-2677133/7005411;AV OCTAVIO CAMEJO, C.C. PUERTO ENSENADA, NIVEL PB, LOCAL 04, SECTOR PARAISO PUERTO LA CRUZ ESTADO ANZOATEGUI;INACTIVO;cconopoima@hotmail.com;TARIFA NAC2012;CREDITO;2011-07-21;
CR460;ESTAR SEGUROS, S.A.;CCS;1RA TRANSVERSAL DE LOS PALOS GRANDES CENTRO PLAZA TORRE D PISO 14;J-00007587-5;FERNANDO GALINDEZ;2780202;1RA TRANSVERSAL DE LOS PALOS GRANDES CENTRO PLAZA TORRE D PISO 9;ACTIVO;fernando.galindez@estarseguros.net;TARIFA NAC2012;CREDITO;2011-09-01;
CR461;INNOVA 78, C.A;CCS;AVENIDA JOSE ANTONIO PAEZ, CENTRO COMERCIAL MULTIPLAZA, LOCAL N° ECPB 6, EL PARAISO CARACAS;J298827360;HEYBERT SANCHEZ;0212 4190004;SEGUNDA AVENIDA CALLE 40 RES JUAN CARLOS PISO 6 APTO 61 MONTALBAN II. (UNA CUADRA ANTES DEL CENTRO COMERCIAL LA VILLA SENTIDO PARAISO CARICUAO);ACTIVO;phiten.ven@gmail.com;TARIFA NAC2012;CREDITO;2012-07-11;
CR462;GRUPO RICAMBI 2021 C.A.;CCS;CALLE GUANCHEZ ENTRE AV. FCO DE MIRANDA Y ROMULO GALLEGOS LOCAL 4-03 LOS DOS CAMINOS, CARACAS.;J-29692906-8;VICENTE LANZA;0212-2382292 / 238-6271;CALLE GUANCHEZ ENTRE AV. FCO DE MIRANDA Y ROMULO GALLEGOS LOCAL 4-03 LOS DOS CAMINOS, CARACAS.;ACTIVO;rolanca2002@hotmail.com;TARIFA NAC2012;CREDITO;2011-11-30;
CR463;INDUSTRIAS VENEZOLANA DE PRODUCTOS INFORMATICOS,CA;CCS;AVENIDA LIBERTADOR, EDF. MARACAIBO PISO 13 OFICINA 13G. ZONA LA CAMPIÑA;J-29895063-3;RAMON HERRERA;0212.981.11.31;AV. CHICAGO CENTRO EMPRESARIAL STURGIS PISO 2 OFC. 1, LA CALIFORNIA SUR, CARACAS.;ACTIVO;franklin.cacique@magnabyte.com;TARIFA NAC2012;CONTADO;;
CR464;GINETON CELULAR. C.A;GRN;AV MARTIN VERA GUERRA 1, CC MIRANDA. NIVEL PB LOCAL A-31 URB 27 DE FEBRERO (MENCA DE LEONI), GUARENAS;J-30691862-0;SEBASTIANO PAGANO;0212.362 24 63;AV MARTIN VERA GUERRA 1, CC MIRANDA. NIVEL PB LOCAL A-31 URB 27 DE FEBRERO (MENCA DE LEONI), GUARENAS;ACTIVO;gineton@cantv.net;TARIFA NAC2012;CONTADO;;
CR465;SONY DE VENEZUELA, S.A (CUPONES);CCS;AV. PRINCIPAL COLINA DE BELLO MONTE, EDF. OFICENTRO COLINAS, PISO 1, OFC. S/N, URB. BELLO MONTE, CARACAS.;J-00075911-1;CLAUDIA RINKEL;0241-8389927;;ACTIVO;claudiarinkel@gmail.com;TARIFA NAC2012;CREDITO;2012-08-02;
CR466;VIA MOTORS MIRANDA C.A;CCS;CALLE BOLIVAR EDI DON PEDRO PB LOCAL 1 URB BOLIVAR, CHACAO.;J-29779716-5;LEONARDO LIBORIUS;0424 1481530 / 0212 2667523 0412.222.5204 EDUARDO;CALLE BOLIVAR EDI DON PEDRO PB LOCAL 1 URB BOLIVAR, CHACAO.;INACTIVO;lliborius@viamotores.com;TARIFA NAC2012;COBRO EN DESTINO;2016-02-23;
CR465A;MULTIROYAL ELECTRONICS, C.A.;BLA;CALLE JUNCAL #31, URB. CASCO CENTRAL,EDIF. NEMNOM, PB, FRENTE LA PARADA TRONCONAL III, MUNICIPIO SOTILLO, PTO. LA CRUZ-EDO. ANZOATEGUI, ZONA POSTAL 6023.;J-29872252-5;SILVIA CAMPOS;0281-268.59.48;CALLE JUNCAL #31, URB. CASCO CENTRAL,EDIF. NEMNOM, PB, FRENTE LA PARADA TRONCONAL III, MUNICIPIO SOTILLO, PTO. LA CRUZ-EDO. ANZOATEGUI, ZONA POSTAL 6023.;ACTIVO;multiroyalelectronics@gmail.com;TARIFA NAC2012;CREDITO;2012-07-02;
CR465B;MULTI ROYAL, C.A.;BLA;AV. INTERCOMUNAL, URB. LAS GRAZAS, GALPON MULTIROYAL, FRENTE AL SEGURO LAS GARZAS, PARROQUIA EL CARMEN, MUNICIPIO SIMON BOLIVAR, BARCELONA-EDO. ANZOATEGUI, ZONA POSTAL 6023.;J-30197721-1;JOSE ENEMON;0281-263.71.71;AV. INTERCOMUNAL, URB. LAS GRAZAS, GALPON MULTIROYAL, FRENTE AL SEGURO LAS GARZAS, PARROQUIA EL CARMEN, MUNICIPIO SIMON BOLIVAR, BARCELONA-EDO. ANZOATEGUI, ZONA POSTAL 6023.;ACTIVO;multiroyal@gmail.com;TARIFA NAC2012;CREDITO;2012-07-30;
CR465C;SIGO (BARCELONA);BLA;AV. LOS MESONES 9, GALPON #2, VIA LOS MESONES, FRENTE AL PARADOR TURISTICO, PARROQUIA SAN CRISTOBAL, MUNICIPIO EL CARMEN, BARCELONA-EDO. ANZOATEGUI, ZONA POSTAL 6601.;J-29430577-6;SAUL BELLO;0281-420.25.38;AV. LOS MESONES 9, GALPON #2, VIA LOS MESONES, FRENTE AL PARADOR TURISTICO, PARROQUIA SAN CRISTOBAL, MUNICIPIO EL CARMEN, BARCELONA-EDO. ANZOATEGUI, ZONA POSTAL 6601.;ACTIVO;saul.bello@sigo.com;TARIFA NAC2012;CREDITO;2012-08-10;
CR465D;J.J PEREZ ALEMAN & CIA (PTO. LA CRUZ);BLA;AV. JORGE RODRIGUEZ, URB. VISTA MAR, EDIF. J.J PEREZ ALEMAN & CIA, PB, AL LADO DEL C.C. VISTA MAR, PARROQUIA LECHERIAS, MUNICIPIO URBANEJA, LECHERIAS-EDO. ANZOATEGUI, ZONA POSTAL 6016.;J-08003095-8;AMARILIS RODRIGUEZ;0281-286.28.11. EXT.: 2101;AV. JORGE RODRIGUEZ, URB. VISTA MAR, EDIF. J.J PEREZ ALEMAN & CIA, PB, AL LADO DEL C.C. VISTA MAR, PARROQUIA LECHERIAS, MUNICIPIO URBANEJA, LECHERIAS-EDO. ANZOATEGUI, ZONA POSTAL 6016.;ACTIVO;a.rodriguez@jjpa.com.ve;TARIFA NAC2012;CREDITO;2012-06-29;
CR465E;DIGITALISIMO, C.A.;BLA;AV. PRINCIPAL COLINA DE BELLO MONTE, EDF. OFICENTRO COLINAS, PISO 1, OFC. S/N, URB. BELLO MONTE, CARACAS.;J-00075911-1;CLAUDIA RINKEL;0241-8389927;CALLE JUNCAL, # 46, PUERTO LA CRUZ, ESTADO ANZOATEGUI, EDIFICI DIGITALÍSIMO PUERTO LA CRUZ	ANZOÁTEGUI;ACTIVO;claudiarinkel@gmail.com;TARIFA NAC2012;CREDITO;2012-03-26;
CR465F;TOP AUDIO VIDEO MARACAY, C.A;MCY;AV. BOLIVAR, URB. BASE ARAGUA, C.C. PARQUE ARAGUA, NIVEL 3, LOCAL 34, PARROQUIA GIRARDOT, MUICIPIO GIRARDOT, MARACAY-EDO. ARAGUA. FRENTE AL RESTAURANTE TORIGALLO, ZONA POSTAL 2101.;J-07553047-0;JOSE MORENO;0243-233.19.09/32.85;AV. BOLIVAR, URB. BASE ARAGUA, C.C. PARQUE ARAGUA, NIVEL 3, LOCAL 34, PARROQUIA GIRARDOT, MUICIPIO GIRARDOT, MARACAY-EDO. ARAGUA. FRENTE AL RESTAURANTE TORIGALLO, ZONA POSTAL 2101.;ACTIVO;tiendastop@yahoo.com;TARIFA NAC2012;CREDITO;2012-08-06;
